generated_at_utc,seed,split,model_variant,threshold,loss,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,tn,fp,fn,tp,probability_path
2026-06-01T08:09:11.977160+00:00,42,train,dl_baseline,0.5,0.11853741188102382,0.7870200180463189,0.7726781945148977,0.7889971459502018,0.6546627470194349,0.7155799526933547,17677,12246,0.8427625361372622,0.8302215235028317,15533,2144,4229,8017,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/dl_baseline_train_prob.npy
2026-06-01T08:09:12.695418+00:00,42,val,dl_baseline,0.5,0.11806318064422257,0.7879307656323093,0.7737221656636603,0.7896425297891843,0.6566310975609756,0.7170203911776946,3789,2624,0.8383482010666305,0.8298848206856181,3330,459,901,1723,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/dl_baseline_val_prob.npy
2026-06-01T08:09:13.281155+00:00,42,test,dl_baseline,0.5,0.11952293321604143,0.7813815686886013,0.76646035442857,0.7818265682656826,0.6459603658536586,0.7074290484140233,3789,2624,0.8389368957154535,0.8241626956851462,3316,473,929,1695,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/dl_baseline_test_prob.npy
