component,explained_variance_ratio,cumulative_explained_variance
1,0.13346067070960999,0.13346067070960999
2,0.056704286485910416,0.1901649571955204
3,0.030197873711586,0.2203628309071064
4,0.028764508664608,0.2491273395717144
5,0.0243767611682415,0.2735041007399559
6,0.022510990500450134,0.29601509124040604
7,0.018881628289818764,0.3148967195302248
8,0.017533278092741966,0.33242999762296677
9,0.01696370169520378,0.34939369931817055
10,0.015073983930051327,0.3644676832482219
11,0.013745402917265892,0.37821308616548777
12,0.012214473448693752,0.3904275596141815
13,0.0113153588026762,0.4017429184168577
14,0.01082718838006258,0.4125701067969203
15,0.010377699509263039,0.42294780630618334
16,0.010133777745068073,0.4330815840512514
17,0.009952869266271591,0.443034453317523
18,0.009095405228435993,0.452129858545959
19,0.008733580820262432,0.46086343936622143
20,0.008130237460136414,0.46899367682635784
21,0.007666428107768297,0.47666010493412614
22,0.007384837605059147,0.4840449425391853
23,0.007133296225219965,0.49117823876440525
24,0.007025295402854681,0.49820353416725993
25,0.006663339678198099,0.504866873845458
26,0.0064980038441717625,0.5113648776896298
27,0.006264352705329657,0.5176292303949594
28,0.006072967778891325,0.5237021981738508
29,0.005931084975600243,0.529633283149451
30,0.005810740403831005,0.535444023553282
31,0.005617051385343075,0.5410610749386251
32,0.00546095659956336,0.5465220315381885
33,0.005261603742837906,0.5517836352810264
34,0.00514044426381588,0.5569240795448422
35,0.004946417640894651,0.5618704971857369
36,0.004794021137058735,0.5666645183227956
37,0.004583139903843403,0.571247658226639
38,0.004502482246607542,0.5757501404732466
39,0.004350688774138689,0.5801008292473853
40,0.004260743036866188,0.5843615722842515
41,0.00420131953433156,0.588562891818583
42,0.00413117092102766,0.5926940627396107
43,0.004029253963381052,0.5967233167029917
44,0.003924812655895948,0.6006481293588877
45,0.0038111598696559668,0.6044592892285436
46,0.0037573189474642277,0.6082166081760079
47,0.0037032351829111576,0.611919843358919
48,0.0035965500865131617,0.6155163934454322
49,0.0035598911345005035,0.6190762845799327
50,0.003463303204625845,0.6225395877845585
51,0.003418243257328868,0.6259578310418874
52,0.003380671376362443,0.6293385024182498
53,0.0033586020581424236,0.6326971044763923
54,0.0032475360203534365,0.6359446404967457
55,0.0031947940587997437,0.6391394345555454
56,0.003087447490543127,0.6422268820460886
57,0.0030450914055109024,0.6452719734515995
58,0.003006202867254615,0.6482781763188541
59,0.002949739573523402,0.6512279158923775
60,0.00294079864397645,0.654168714536354
61,0.002870782045647502,0.6570394965820014
62,0.002820784691721201,0.6598602812737226
63,0.002740711672231555,0.6626009929459542
64,0.0026843079831451178,0.6652853009290993
65,0.0026543927378952503,0.6679396936669946
66,0.002611578209325671,0.6705512718763202
67,0.00256996788084507,0.6731212397571653
68,0.002539670094847679,0.675660909852013
69,0.002513854531571269,0.6781747643835843
70,0.002482772571966052,0.6806575369555503
71,0.0024430560879409313,0.6831005930434912
72,0.002399810589849949,0.6855004036333412
73,0.0023841490037739277,0.6878845526371151
74,0.0023543103598058224,0.6902388629969209
75,0.0023239171132445335,0.6925627801101655
76,0.002320610685274005,0.6948833907954395
77,0.0022451472468674183,0.6971285380423069
78,0.0022228164598345757,0.6993513545021415
79,0.002208164194598794,0.7015595186967403
80,0.0021581624168902636,0.7037176811136305
81,0.0021435453090816736,0.7058612264227122
82,0.0020910403691232204,0.7079522667918354
83,0.0020657444838434458,0.7100180112756789
84,0.0020372336730360985,0.712055244948715
85,0.00202044821344316,0.7140756931621581
86,0.00200870493426919,0.7160843980964273
87,0.001987552735954523,0.7180719508323818
88,0.0019543783273547888,0.7200263291597366
89,0.0019355047261342406,0.7219618338858709
90,0.0019083747174590826,0.72387020860333
91,0.0018948668148368597,0.7257650754181668
92,0.0018678451888263226,0.7276329206069931
93,0.0018486430635675788,0.7294815636705607
94,0.0018471579533070326,0.7313287216238678
95,0.0018369329627603292,0.7331656545866281
96,0.001802157610654831,0.7349678121972829
97,0.0017823437228798866,0.7367501559201628
98,0.0017683320911601186,0.7385184880113229
99,0.0017384565435349941,0.7402569445548579
100,0.0017294598510488868,0.7419864044059068
101,0.0017237913561984897,0.7437101957621053
102,0.0017015532357618213,0.7454117489978671
103,0.001685583614744246,0.7470973326126114
104,0.0016700227279216051,0.748767355340533
105,0.001648147590458393,0.7504155029309914
106,0.0016150656156241894,0.7520305685466155
107,0.0016060754423961043,0.7536366439890116
108,0.0015957197174429893,0.7552323637064546
109,0.0015832395292818546,0.7568156032357365
110,0.0015601032646372914,0.7583757065003738
111,0.0015541600296273828,0.7599298665300012
112,0.001539055840112269,0.7614689223701134
113,0.0015162831405177712,0.7629852055106312
114,0.0015041433507576585,0.7644893488613889
115,0.00149725959636271,0.7659866084577516
116,0.0014895019121468067,0.7674761103698984
117,0.0014714273856952786,0.7689475377555937
118,0.0014405831461772323,0.7703881209017709
119,0.0014253107365220785,0.771813431638293
120,0.0014187975320965052,0.7732322291703895
121,0.0014089720789343119,0.7746412012493238
122,0.0013998583890497684,0.7760410596383736
123,0.00139679538551718,0.7774378550238907
124,0.0013767631025984883,0.7788146181264892
125,0.001374316168949008,0.7801889342954382
126,0.0013606848660856485,0.7815496191615239
127,0.001343593467026949,0.7828932126285508
128,0.001340423128567636,0.7842336357571185
129,0.0013192037586122751,0.7855528395157307
130,0.0013083539670333266,0.7868611934827641
131,0.001295501715503633,0.7881566951982677
132,0.0012933991383761168,0.7894500943366438
133,0.001289459178224206,0.790739553514868
134,0.0012790958862751722,0.7920186494011432
135,0.0012673834571614861,0.7932860328583047
136,0.0012575553264468908,0.7945435881847516
137,0.0012502085883170366,0.7957937967730686
138,0.0012468448840081692,0.7970406416570768
139,0.0012410212075337768,0.7982816628646106
140,0.001230631722137332,0.7995122945867479
141,0.0012140428880229592,0.8007263374747708
142,0.0012088498333469033,0.8019351873081177
143,0.0011992676882073283,0.8031344549963251
144,0.0011855914490297437,0.8043200464453548
145,0.0011662699980661273,0.805486316443421
146,0.00115839927457273,0.8066447157179937
147,0.001156734419055283,0.807801450137049
148,0.0011490805773064494,0.8089505307143554
149,0.0011293977731838822,0.8100799284875393
150,0.0011242744512856007,0.8112042029388249
151,0.0011220836313441396,0.812326286570169
152,0.0011194763937965035,0.8134457629639655
153,0.0011055584764108062,0.8145513214403763
154,0.0010896007297560573,0.8156409221701324
155,0.0010836345609277487,0.8167245567310601
156,0.0010792871471494436,0.8178038438782096
157,0.0010644921567291021,0.8188683360349387
158,0.0010591915342956781,0.8199275275692344
159,0.0010453928261995316,0.8209729203954339
160,0.0010338349966332316,0.8220067553920671
161,0.0010254951193928719,0.82303225051146
162,0.0010211998596787453,0.8240534503711388
163,0.0010202315170317888,0.8250736818881705
164,0.0010154980700463057,0.8260891799582168
165,0.0010075147729367018,0.8270966947311535
166,0.0010013149585574865,0.828098009689711
167,0.0009936330607160926,0.8290916427504271
168,0.00098760228138417,0.8300792450318113
169,0.0009858746780082583,0.8310651197098196
170,0.0009737134678289294,0.8320388331776485
171,0.000968915643170476,0.833007748820819
172,0.0009635748574510217,0.83397132367827
173,0.0009564279462210834,0.8349277516244911
