generated_at_utc,seed,track,model_variant,feature_group,mean_abs_shap
2026-06-11T06:19:04.682114+00:00,42,final_raw_777,phase5_xgb_raw,bert_embedding,7.187336
2026-06-11T06:19:04.682114+00:00,42,final_raw_777,phase5_xgb_raw,behavioral,3.3249865
