generated_at_utc,seed,case_number,case_type,test_row_index,feature_rank,lime_feature_rule,lime_weight_for_fake,selected_threshold,model_variant
2026-06-11T06:22:11.790129+00:00,42,4,false_negative_fake_as_real,5514,3,pca_139 > 0.61,-0.04302393586479728,0.79,final_ensemble
2026-06-11T06:22:11.790135+00:00,42,4,false_negative_fake_as_real,5514,4,pca_128 > 0.62,0.03504139602324191,0.79,final_ensemble
2026-06-11T06:22:11.790141+00:00,42,4,false_negative_fake_as_real,5514,5,pca_031 <= -1.28,-0.03298620813453624,0.79,final_ensemble
2026-06-11T06:22:11.790147+00:00,42,4,false_negative_fake_as_real,5514,6,pca_133 <= -0.62,0.03209144997100911,0.79,final_ensemble
2026-06-11T06:22:11.790153+00:00,42,4,false_negative_fake_as_real,5514,7,pca_298 <= -0.34,-0.03151006913727502,0.79,final_ensemble
2026-06-11T06:22:11.790159+00:00,42,4,false_negative_fake_as_real,5514,8,pca_006 > 2.27,-0.02879375385142837,0.79,final_ensemble
2026-06-11T06:22:11.790165+00:00,42,4,false_negative_fake_as_real,5514,9,pca_129 <= -0.62,0.02773981037129713,0.79,final_ensemble
2026-06-11T06:22:11.790171+00:00,42,4,false_negative_fake_as_real,5514,10,0.05 < pca_190 <= 0.53,0.027111264437791993,0.79,final_ensemble
2026-06-11T06:22:11.790177+00:00,42,4,false_negative_fake_as_real,5514,11,pca_072 <= -0.79,-0.026585945813937438,0.79,final_ensemble
2026-06-11T06:22:11.790183+00:00,42,4,false_negative_fake_as_real,5514,12,0.01 < pca_359 <= 0.34,0.02393139765193117,0.79,final_ensemble
2026-06-11T06:22:13.385997+00:00,42,5,highest_confidence_fake_prediction,2004,1,pca_000 <= -8.05,0.552082218276261,0.79,final_ensemble
2026-06-11T06:22:13.386005+00:00,42,5,highest_confidence_fake_prediction,2004,2,pca_139 <= -0.60,0.05986281586374299,0.79,final_ensemble
2026-06-11T06:22:13.386012+00:00,42,5,highest_confidence_fake_prediction,2004,3,pca_143 <= -0.74,0.05934328352990883,0.79,final_ensemble
2026-06-11T06:22:13.386018+00:00,42,5,highest_confidence_fake_prediction,2004,4,pca_006 <= -2.71,0.05057486883902476,0.79,final_ensemble
2026-06-11T06:22:13.386022+00:00,42,5,highest_confidence_fake_prediction,2004,5,pca_003 > 2.28,0.04652293985031661,0.79,final_ensemble
2026-06-11T06:22:13.386028+00:00,42,5,highest_confidence_fake_prediction,2004,6,pca_161 <= -0.55,0.04527127397808685,0.79,final_ensemble
2026-06-11T06:22:13.386033+00:00,42,5,highest_confidence_fake_prediction,2004,7,pca_137 <= -0.62,0.04464968674078939,0.79,final_ensemble
2026-06-11T06:22:13.386037+00:00,42,5,highest_confidence_fake_prediction,2004,8,pca_013 > 2.05,-0.038479901468356684,0.79,final_ensemble
2026-06-11T06:22:13.386042+00:00,42,5,highest_confidence_fake_prediction,2004,9,pca_127 > 0.63,0.03069251445464773,0.79,final_ensemble
2026-06-11T06:22:13.386048+00:00,42,5,highest_confidence_fake_prediction,2004,10,pca_153 <= -0.55,0.03014998179718045,0.79,final_ensemble
2026-06-11T06:22:13.386055+00:00,42,5,highest_confidence_fake_prediction,2004,11,pca_169 <= -0.52,0.029474952803180646,0.79,final_ensemble
2026-06-11T06:22:13.386061+00:00,42,5,highest_confidence_fake_prediction,2004,12,pca_133 <= -0.62,0.025280274668678274,0.79,final_ensemble
2026-06-11T06:22:14.942513+00:00,42,6,highest_confidence_real_prediction,4942,1,0.57 < pca_000 <= 8.31,-0.21726055951778644,0.79,final_ensemble
2026-06-11T06:22:14.942522+00:00,42,6,highest_confidence_real_prediction,4942,2,pca_147 > 0.64,-0.08245434895697594,0.79,final_ensemble
2026-06-11T06:22:14.942529+00:00,42,6,highest_confidence_real_prediction,4942,3,pca_143 <= -0.74,0.05428869171016509,0.79,final_ensemble
2026-06-11T06:22:14.942535+00:00,42,6,highest_confidence_real_prediction,4942,4,pca_137 <= -0.62,0.053118542450848134,0.79,final_ensemble
2026-06-11T06:22:14.942541+00:00,42,6,highest_confidence_real_prediction,4942,5,pca_139 > 0.61,-0.04822826343232262,0.79,final_ensemble
2026-06-11T06:22:14.942547+00:00,42,6,highest_confidence_real_prediction,4942,6,pca_138 <= -0.60,0.04530154900323004,0.79,final_ensemble
2026-06-11T06:22:14.942553+00:00,42,6,highest_confidence_real_prediction,4942,7,pca_172 <= -0.59,0.04460446546924753,0.79,final_ensemble
2026-06-11T06:22:14.942559+00:00,42,6,highest_confidence_real_prediction,4942,8,pca_101 <= -0.75,0.044407297724093756,0.79,final_ensemble
2026-06-11T06:22:14.942584+00:00,42,6,highest_confidence_real_prediction,4942,9,pca_130 > 0.63,0.04277681760465695,0.79,final_ensemble
2026-06-11T06:22:14.942589+00:00,42,6,highest_confidence_real_prediction,4942,10,pca_132 <= -0.64,-0.041659831647732605,0.79,final_ensemble
2026-06-11T06:22:14.942595+00:00,42,6,highest_confidence_real_prediction,4942,11,pca_161 > 0.59,-0.037321708921683086,0.79,final_ensemble
2026-06-11T06:22:14.942601+00:00,42,6,highest_confidence_real_prediction,4942,12,-2.32 < pca_005 <= 0.28,-0.03464695806048333,0.79,final_ensemble
