generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,candidate_type,probability_path
2026-06-01T08:38:56.430263+00:00,42,train,logistic_stacking,0.5,default_0.5,0.9350666711225478,0.9322396295320352,0.9454388240380458,0.8928629756655234,0.918399059258326,17677,12246,0.9828101085448518,0.9772074119722838,0.056867390426031644,17046,631,1312,10934,sklearn_stacker,not_saved_candidate_probability
2026-06-01T08:38:56.461430+00:00,42,val,logistic_stacking,0.5,default_0.5,0.8673007952596289,0.8603165280926419,0.8764331210191083,0.7865853658536586,0.829082145009038,3789,2624,0.9163319364785096,0.9085226037363465,0.1023489954790673,3498,291,560,2064,sklearn_stacker,not_saved_candidate_probability
2026-06-01T08:38:56.475951+00:00,42,test,logistic_stacking,0.5,default_0.5,0.8652736628722907,0.8583378706132753,0.8713080168776371,0.7869664634146342,0.8269923908690429,3789,2624,0.9133446103611867,0.9017558348220658,0.10386791785043774,3484,305,559,2065,sklearn_stacker,not_saved_candidate_probability
2026-06-01T08:38:56.492212+00:00,42,train,random_forest_stacking,0.5,default_0.5,0.9191591752163887,0.9162076372800101,0.9073874471436862,0.8936795688388045,0.9004813428230551,17677,12246,0.9649300464166951,0.961588152710146,0.07708294135090224,16560,1117,1302,10944,sklearn_stacker,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/stacking_train_prob.npy
2026-06-01T08:38:56.520330+00:00,42,val,random_forest_stacking,0.5,default_0.5,0.8832059878372057,0.8761569124926014,0.9150066401062417,0.7877286585365854,0.8466106901494983,3789,2624,0.9419949697938191,0.9350917023431279,0.08650763390290997,3597,192,557,2067,sklearn_stacker,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/stacking_val_prob.npy
2026-06-01T08:38:56.533933+00:00,42,test,random_forest_stacking,0.5,default_0.5,0.8651177296117262,0.8573113537874189,0.8842289209261687,0.7713414634146342,0.8239364950132302,3789,2624,0.9095701955757682,0.8964053543483685,0.10472509858151614,3524,265,600,2024,sklearn_stacker,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/stacking_test_prob.npy
2026-06-01T08:38:56.550209+00:00,42,train,extra_trees_stacking,0.5,default_0.5,0.9206630351234836,0.9176200633513676,0.9138856280395774,0.8900048995590397,0.9017871917921562,17677,12246,0.9664410787027206,0.9622081101576467,0.07801504075906407,16650,1027,1347,10899,sklearn_stacker,not_saved_candidate_probability
2026-06-01T08:38:56.578121+00:00,42,val,extra_trees_stacking,0.5,default_0.5,0.8716669265554343,0.8644885501545612,0.8893212278426286,0.7839176829268293,0.8332995746404699,3789,2624,0.9219232281025304,0.9163028086072843,0.09940602772903213,3533,256,567,2057,sklearn_stacker,not_saved_candidate_probability
2026-06-01T08:38:56.592711+00:00,42,test,extra_trees_stacking,0.5,default_0.5,0.8658973959145486,0.8585138191699899,0.8795180722891566,0.7789634146341463,0.826192400970089,3789,2624,0.9128978340703835,0.9013957606001558,0.10423770936040523,3509,280,580,2044,sklearn_stacker,not_saved_candidate_probability
2026-06-01T08:38:56.609643+00:00,42,train,random_forest_isotonic_cv,0.5,default_0.5,0.9259098352437924,0.9227694006575891,0.9306879670188096,0.8848603625673689,0.9071957804847419,17677,12246,0.9652315442389916,0.9613416993322743,0.07048401351251925,16870,807,1410,10836,calibrated_stacker,not_saved_candidate_probability
2026-06-01T08:38:56.633447+00:00,42,val,random_forest_isotonic_cv,0.5,default_0.5,0.8844534539217215,0.877146460954601,0.9231460674157304,0.7827743902439024,0.8471849865951743,3789,2624,0.9406282889654906,0.9336028487392418,0.08681046532995798,3618,171,570,2054,calibrated_stacker,not_saved_candidate_probability
2026-06-01T08:38:56.647187+00:00,42,test,random_forest_isotonic_cv,0.5,default_0.5,0.866053329175113,0.8580360789158992,0.8896247240618101,0.7679115853658537,0.8242994477398241,3789,2624,0.9099044731539951,0.8959089773337967,0.10376112960726189,3539,250,609,2015,calibrated_stacker,not_saved_candidate_probability
2026-06-01T08:38:56.664912+00:00,42,train,logistic_sigmoid_cv,0.5,default_0.5,0.9281823346589579,0.9243750300574862,0.9605035118124601,0.8598726114649682,0.9074066095049335,17677,12246,0.9822493676819299,0.9765374607251007,0.055848408797574786,17244,433,1716,10530,calibrated_stacker,not_saved_candidate_probability
