generated_at_utc,seed,subset_name,subset_size,model_variant,component_index,component_name,mean_abs_shap,rank
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,0,pca_000,1.2295129,1
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,5,pca_005,0.2738153,2
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,147,pca_147,0.27046418,3
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,135,pca_135,0.16416232,4
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,139,pca_139,0.16248724,5
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,143,pca_143,0.16240048,6
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,132,pca_132,0.14496933,7
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,150,pca_150,0.12946653,8
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,163,pca_163,0.12574016,9
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,128,pca_128,0.11923341,10
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,130,pca_130,0.11707371,11
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,3,pca_003,0.11503408,12
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,6,pca_006,0.11325868,13
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,161,pca_161,0.10925861,14
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,133,pca_133,0.106663205,15
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,101,pca_101,0.10548569,16
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,122,pca_122,0.10142952,17
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,137,pca_137,0.100873314,18
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,184,pca_184,0.09460075,19
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,119,pca_119,0.09028063,20
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,138,pca_138,0.088684015,21
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,72,pca_072,0.08473891,22
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,97,pca_097,0.08314354,23
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,140,pca_140,0.08230597,24
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,15,pca_015,0.077972755,25
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,127,pca_127,0.07384338,26
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,152,pca_152,0.07374283,27
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,172,pca_172,0.07337667,28
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,169,pca_169,0.07210089,29
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,2,pca_002,0.069896296,30
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,196,pca_196,0.06964224,31
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,85,pca_085,0.06963595,32
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,8,pca_008,0.06329679,33
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,218,pca_218,0.062191386,34
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,153,pca_153,0.06155724,35
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,13,pca_013,0.058628775,36
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,10,pca_010,0.05856163,37
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,171,pca_171,0.056115814,38
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,126,pca_126,0.053783793,39
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,31,pca_031,0.053544786,40
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,158,pca_158,0.047562417,41
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,98,pca_098,0.046580352,42
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,41,pca_041,0.046449956,43
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,157,pca_157,0.043828867,44
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,67,pca_067,0.042963114,45
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,1,pca_001,0.041807923,46
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,22,pca_022,0.04064741,47
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,188,pca_188,0.038939975,48
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,141,pca_141,0.038329978,49
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,156,pca_156,0.037898526,50
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,164,pca_164,0.037244666,51
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,146,pca_146,0.03594897,52
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,69,pca_069,0.035366066,53
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,19,pca_019,0.03519015,54
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,125,pca_125,0.03426977,55
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,99,pca_099,0.034049347,56
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,82,pca_082,0.032827623,57
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,109,pca_109,0.031946786,58
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,102,pca_102,0.031330287,59
2026-06-11T06:21:41.737453+00:00,42,test_stratified_shap,500,lightgbm,175,pca_175,0.030199314,60
