generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,probability_path
2026-06-10T08:37:29.241900+00:00,42,train,phase5_lgbm_raw,0.5,default_0.5,1.0,1.0,1.0,1.0,1.0,17677,12246,1.0,1.0,0.0011009279220037928,17677,0,0,12246,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/phase5_lgbm_raw_train_prob.npy
2026-06-10T08:37:29.874889+00:00,42,val,phase5_lgbm_raw,0.5,default_0.5,0.9078434430063933,0.9016114165431406,0.9673563218390805,0.801829268292683,0.8768493436132527,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3718,71,520,2104,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/phase5_lgbm_raw_val_prob.npy
2026-06-10T08:37:30.261787+00:00,42,test,phase5_lgbm_raw,0.5,default_0.5,0.9109621082176829,0.9050990426953921,0.9676537585421412,0.8094512195121951,0.8815106868644947,3789,2624,0.9548345579952238,0.955677384441467,0.07325449329286694,3718,71,500,2124,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/phase5_lgbm_raw_test_prob.npy
