generated_at_utc,seed,model_variant,epoch,train_loss,val_loss,val_macro_f1,val_precision_fake,val_recall_fake,val_f1_fake,val_roc_auc,val_pr_auc,batch_size
2026-06-01T08:31:44.619726+00:00,42,dl_pso,1,0.17439428430881124,0.1534314147306645,0.7566963518162884,0.727896649172386,0.6871189024390244,0.7069202117231915,0.8245992692260651,0.8183825972687264,48
2026-06-01T08:31:55.738490+00:00,42,dl_pso,2,0.15924418714410762,0.15388845021836606,0.7564220441539015,0.7138473341004986,0.7092225609756098,0.711527432613267,0.8305897125182654,0.8211061320344025,48
2026-06-01T08:32:06.834193+00:00,42,dl_pso,3,0.1573087661692521,0.1500113594765301,0.766289356377571,0.7883349012229539,0.6387195121951219,0.7056842105263158,0.8359378520299454,0.825357077795845,48
2026-06-01T08:32:17.957511+00:00,42,dl_pso,4,0.15684290538774998,0.1475942346814752,0.7698639314687741,0.7646804835924007,0.6749237804878049,0.7170040485829959,0.8401133295032475,0.8310014832922012,48
2026-06-01T08:32:29.053773+00:00,42,dl_pso,5,0.15478872151802167,0.14765775465340691,0.7706123599581551,0.7420127795527156,0.708079268292683,0.7246489859594384,0.8418830343291556,0.831914837475414,48
2026-06-01T08:32:40.133670+00:00,42,dl_pso,6,0.15356462827676345,0.14804241064463652,0.7787406980597016,0.8393223819301848,0.6230945121951219,0.7152230971128609,0.8437937020032313,0.8349505302224898,48
2026-06-01T08:32:51.216154+00:00,42,dl_pso,7,0.15198743398031864,0.14608151585667623,0.7804896912142835,0.8009216589861751,0.6623475609756098,0.7250730079265749,0.8462990991251956,0.8352106997466295,48
2026-06-01T08:33:02.267257+00:00,42,dl_pso,8,0.15051076800369131,0.14604060260299287,0.7827494605550327,0.8062123319425127,0.6627286585365854,0.7274628738757583,0.8482503005329936,0.8370387280211464,48
2026-06-01T08:33:13.332743+00:00,42,dl_pso,9,0.1490960314347496,0.14500157747916678,0.7863368342355334,0.8088438507600184,0.6692073170731707,0.732429614181439,0.851273533704755,0.8403618321969195,48
2026-06-01T08:33:24.390867+00:00,42,dl_pso,10,0.14846751898033145,0.14611374098751226,0.7793773622986312,0.7636589403973509,0.703125,0.7321428571428571,0.8492818991432195,0.8389391722700648,48
2026-06-01T08:33:35.459894+00:00,42,dl_pso,11,0.14692084964835236,0.14292993650140098,0.7859698209477479,0.774395329441201,0.7076981707317073,0.7395459976105138,0.8530311689325325,0.8434914803105265,48
2026-06-01T08:33:46.530331+00:00,42,dl_pso,12,0.14672100372420505,0.1428857049684749,0.7905399046456305,0.8032128514056225,0.6859756097560976,0.7399794450154162,0.8553079980398972,0.8449196078390688,48
2026-06-01T08:33:57.539719+00:00,42,dl_pso,13,0.14580313866847905,0.1463956856632798,0.7752911256839332,0.7637894736842106,0.6913109756097561,0.7257451490298059,0.8428026371267275,0.834590341972427,48
2026-06-01T08:34:08.592382+00:00,42,dl_pso,14,0.14704468682783314,0.14507263589347746,0.7813344451159185,0.7551916932907349,0.7206554878048781,0.7375195007800313,0.8504338919947988,0.8396229169392059,48
2026-06-01T08:34:19.623122+00:00,42,dl_pso,15,0.14470096274697955,0.14778264661103316,0.7882049237097823,0.8454957221942627,0.6402439024390244,0.7286922576447625,0.8523590934766235,0.843250725517662,48
2026-06-01T08:34:30.698442+00:00,42,dl_pso,16,0.1436446047192652,0.14439372316353707,0.7861790733992713,0.7815161839863713,0.6993140243902439,0.7381335478680612,0.8520998485667753,0.8406728157820138,48
2026-06-01T08:34:41.799103+00:00,42,dl_pso,17,0.14271338272113848,0.14443525352930475,0.78519587337224,0.7644912849614917,0.71875,0.7409153407974858,0.8501793743442185,0.8396879011600072,48
2026-06-01T08:34:52.792611+00:00,42,dl_pso,18,0.14310252773016965,0.14537838622799867,0.7829683895991425,0.7696465696465696,0.7054115853658537,0.736130443428117,0.8487416337568958,0.837166797375594,48
