generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,target_precision_fake,target_met,candidate_name,selection_mode,final_mode
2026-06-09T19:36:04.175760+00:00,42,val,phase5_weighted_blend,0.3,threshold_sweep,0.9479182909714642,0.9461282301552857,0.9370229007633588,0.9355945121951219,0.9363081617086194,3789,2624,0.9756133769770002,0.9752348606418502,0.049417322812887875,3624,165,169,2455,0.975,False,phase5_weighted_blend,balanced_validation_macro_f1,balanced
2026-06-09T19:36:04.480815+00:00,42,val,phase5_weighted_blend,0.6,threshold_sweep,0.9134570403867145,0.9076201025097964,0.9751952227836472,0.8090701219512195,0.8843990835242658,3789,2624,0.9756133769770002,0.9752348606418502,0.049417322812887875,3735,54,501,2123,0.975,True,phase5_weighted_blend,precision_first_target_met_then_recall,precision_first
