generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,target_precision_fake,target_met,candidate_name
2026-06-09T19:35:59.775820+00:00,42,val,phase5_lgbm_raw,0.01,threshold_sweep,0.5905192577576797,0.5695636967101608,0.4998078401229823,0.991234756097561,0.6645375574859479,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,1186,2603,23,2601,0.975,False,phase5_lgbm_raw
2026-06-09T19:35:59.785750+00:00,42,val,phase5_lgbm_raw,0.02,threshold_sweep,0.7186963979416809,0.7170512573932224,0.5958391771856008,0.9714176829268293,0.7386264850767893,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,2060,1729,75,2549,0.975,False,phase5_lgbm_raw
2026-06-09T19:35:59.795586+00:00,42,val,phase5_lgbm_raw,0.03,threshold_sweep,0.7820053017308591,0.7820037698522697,0.6625132555673383,0.9523628048780488,0.7814258911819888,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,2516,1273,125,2499,0.975,False,phase5_lgbm_raw
2026-06-09T19:35:59.806530+00:00,42,val,phase5_lgbm_raw,0.04,threshold_sweep,0.8170902853578669,0.8166618811985795,0.708536935901121,0.9394054878048781,0.807799442896936,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,2775,1014,159,2465,0.975,False,phase5_lgbm_raw
2026-06-09T19:35:59.816447+00:00,42,val,phase5_lgbm_raw,0.05,threshold_sweep,0.837985342273507,0.8369541787424796,0.741689539493748,0.926829268292683,0.8239878028121295,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,2942,847,192,2432,0.975,False,phase5_lgbm_raw
2026-06-09T19:35:59.826171+00:00,42,val,phase5_lgbm_raw,0.06,threshold_sweep,0.8538905348510837,0.8523455229873487,0.7692307692307693,0.9184451219512195,0.8372416188987319,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3066,723,214,2410,0.975,False,phase5_lgbm_raw
2026-06-09T19:35:59.836024+00:00,42,val,phase5_lgbm_raw,0.07,threshold_sweep,0.8648058630905973,0.8628283316765625,0.7909903941702551,0.9100609756097561,0.8463583200425305,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3158,631,236,2388,0.975,False,phase5_lgbm_raw
2026-06-09T19:35:59.845819+00:00,42,val,phase5_lgbm_raw,0.08,threshold_sweep,0.8726025261188212,0.8702805530174803,0.8082565677243262,0.9028201219512195,0.852925292529253,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3227,562,255,2369,0.975,False,phase5_lgbm_raw
2026-06-09T19:35:59.855432+00:00,42,val,phase5_lgbm_raw,0.09,threshold_sweep,0.880711055668174,0.8780345916769385,0.8274040154984149,0.8951981707317073,0.8599670510708401,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3299,490,275,2349,0.975,False,phase5_lgbm_raw
2026-06-09T19:35:59.865079+00:00,42,val,phase5_lgbm_raw,0.1,threshold_sweep,0.8866365195696242,0.8837060985783449,0.8422952002887044,0.8894817073170732,0.8652455977757183,3789,2624,0.9555872985986391,0.9549388286265819,0.07503027688512139,3352,437,290,2334,0.975,False,phase5_lgbm_raw
