mode,metric,n_seeds,mean,std,min,max
balanced,macro_f1,3,0.9484657613357838,0.0017769150739451597,0.9460187361892933,0.9501844422837795
balanced,precision_fake,3,0.9505768241654241,0.006676357742066341,0.94276875483372,0.9590782677791021
balanced,recall_fake,3,0.9269563008130081,0.005059021278389205,0.9199695121951219,0.9317835365853658
balanced,roc_auc,3,0.9764099369269622,0.0004861008922611706,0.9757473495162505,0.976899895557744
precision_first,macro_f1,3,0.9202702022418111,0.006560043860445636,0.9147668525401875,0.9294899617954299
precision_first,precision_fake,3,0.9763107436284783,0.0029410992018215013,0.9727921498661909,0.9799909049567985
precision_first,recall_fake,3,0.8367632113821138,0.01544999572714511,0.821265243902439,0.8578506097560976
precision_first,roc_auc,3,0.9764099369269622,0.0004861008922611706,0.9757473495162505,0.976899895557744
