generated_at_utc,seed,trial,status,objective,best_val_macro_f1,best_val_precision_fake,best_val_roc_auc,best_val_objective_score,elapsed_sec,pso_subset_ratio,pso_subset_rows,model_variant,learning_rate,dropout,cnn_filters,kernel_size,lstm_hidden,attention_dim,focal_gamma,batch_size,component_block_weights
2026-06-01T08:09:35.122136+00:00,42,1,ok,-0.7825598233627349,0.7588486433218149,0.7915851272015656,0.8160615875383812,0.7825598233627349,20.04668688774109,0.2,5984,pso_trial_001,0.0005325706711560405,0.16346313282372238,96,5,128,128,2.327584213315508,32,"[1.2280999172213987, 0.6331808084100271, 1.1608415468609437, 1.271267456395151]"
2026-06-01T08:09:47.835968+00:00,42,2,ok,-0.7756727214892754,0.7353894981476897,0.8823529411764706,0.7716912806004546,0.7756727214892754,11.977938175201416,0.2,5984,pso_trial_002,0.0017221421823498209,0.3691343793532008,96,5,96,128,1.0935978955364316,32,"[1.228896969647223, 1.2190548717084209, 1.3277913374283177, 1.079819259617806]"
2026-06-01T08:10:02.660369+00:00,42,3,ok,-0.7650702517073835,0.7339426112225631,0.8165509259259259,0.782629203036389,0.7650702517073835,14.09362006187439,0.2,5984,pso_trial_003,0.0034962294228523686,0.3726854891549298,160,7,96,96,2.2872591482990203,48,"[1.2815800947946836, 0.8622698512124891, 1.0001319735271277, 0.739290064751345]"
2026-06-01T08:10:17.438798+00:00,42,4,ok,-0.7893059533693023,0.7654661861605447,0.7938638542665388,0.8260002981190738,0.7893059533693023,14.221059799194336,0.2,5984,pso_trial_004,0.00036394425904285715,0.13297289418235222,160,7,96,96,1.7205614232820605,48,"[1.3621331111703938, 1.3166207966273302, 0.6007448273110766, 1.3800097088924166]"
2026-06-01T08:10:30.622827+00:00,42,5,ok,-0.7672676127967389,0.753438715212272,0.7360876897133221,0.8111023908264617,0.7672676127967389,12.475658655166626,0.2,5984,pso_trial_005,0.00020492240798517447,0.18051673961806491,128,5,96,64,1.8006446979511845,48,"[0.997856444793793, 0.96634850062864, 1.3428737065431156, 1.3103226702835977]"
2026-06-01T08:10:51.447226+00:00,42,6,ok,-0.7667360440256747,0.7322509328451527,0.8489616110761485,0.7693941846262287,0.7667360440256747,20.231008291244507,0.2,5984,pso_trial_006,0.0025084238993652165,0.15641279069759867,96,3,128,128,2.038960074990576,48,"[1.4640986842901604, 1.1152322478629753, 1.435591929161273, 1.1978682549368969]"
2026-06-01T08:11:03.788875+00:00,42,7,ok,-0.7634118225666178,0.7438882186099487,0.7444595205789236,0.8085860304861957,0.7634118225666178,11.82025671005249,0.2,5984,pso_trial_007,0.0008262951243971608,0.39456256590955097,128,7,96,96,2.8952195605367024,64,"[1.405452849437489, 1.3698495759093778, 0.9675541558194145, 0.8201496245038702]"
2026-06-01T08:11:17.108863+00:00,42,8,ok,-0.745056557984082,0.7324880827684699,0.6911591355599214,0.8019356316262094,0.745056557984082,12.676714658737183,0.2,5984,pso_trial_008,0.00013324147837121274,0.17114565191170578,128,3,96,96,2.6416058610074784,48,"[1.1619400426456155, 1.0407323857234299, 1.4059806164207784, 1.243423892955588]"
2026-06-01T08:11:25.423763+00:00,42,9,ok,-0.7581623518429551,0.7443704543658325,0.7205821205821206,0.8062023351453824,0.7581623518429551,7.803231716156006,0.2,5984,pso_trial_009,0.00024382654033421706,0.16625562785444242,96,3,64,96,1.1881067245285215,48,"[1.2847448585488346, 0.6103718272101691, 1.20784469287202, 1.1300086496390285]"
2026-06-01T08:11:47.923046+00:00,42,10,ok,-0.7443094317544297,0.7307319321121468,0.6897910918407568,0.8032841577673497,0.7443094317544297,21.97873854637146,0.2,5984,pso_trial_010,0.0002326005961185136,0.38330025243699783,160,3,128,128,2.294216213107684,32,"[1.024193248464193, 0.8446928731746023, 1.1366766929709065, 1.4718443938538366]"
