generated_at_utc,seed,split,model_variant,candidate_type,brier_score,roc_auc,pr_auc
2026-06-01T08:39:33.663856+00:00,42,val_calibration,blend_dl02_xgb08_lgbm00,weighted_blend,0.1122371277285241,0.9101551702475186,0.9036147871751382
2026-06-01T08:39:34.386483+00:00,42,val_calibration,blend_dl03_xgb00_lgbm07,weighted_blend,0.11061061521538668,0.915883276793567,0.9094515156836831
2026-06-01T08:39:35.105840+00:00,42,val_calibration,blend_dl03_xgb01_lgbm06,weighted_blend,0.1111428727780541,0.9155245633873602,0.9090802882211011
2026-06-01T08:39:35.836591+00:00,42,val_calibration,blend_dl03_xgb02_lgbm05,weighted_blend,0.11173399117085246,0.9149572810654605,0.908585997187744
2026-06-01T08:39:36.580622+00:00,42,val_calibration,blend_dl03_xgb03_lgbm04,weighted_blend,0.11238396514523984,0.9143152406081168,0.907955451541522
2026-06-01T08:39:37.309495+00:00,42,val_calibration,blend_dl03_xgb04_lgbm03,weighted_blend,0.11309279730730182,0.9133622314361101,0.9069806257438892
2026-06-01T08:39:38.352633+00:00,42,val_calibration,blend_dl03_xgb05_lgbm02,weighted_blend,0.11386048701104946,0.9123193868576454,0.905780355858973
2026-06-01T08:39:39.387478+00:00,42,val_calibration,blend_dl03_xgb06_lgbm01,weighted_blend,0.11468703355057254,0.9110868199522553,0.9045301411288204
2026-06-01T08:39:40.418081+00:00,42,val_calibration,blend_dl03_xgb07_lgbm00,weighted_blend,0.11557243903827646,0.9096035934162585,0.9029735674371063
2026-06-01T08:39:41.542049+00:00,42,val_calibration,blend_dl04_xgb00_lgbm06,weighted_blend,0.11512447238606027,0.9144270637014701,0.9079497340140086
2026-06-01T08:39:42.412842+00:00,42,val_calibration,blend_dl04_xgb01_lgbm05,weighted_blend,0.11575128293440709,0.9138340243749214,0.907373949216107
2026-06-01T08:39:43.157786+00:00,42,val_calibration,blend_dl04_xgb02_lgbm04,weighted_blend,0.11643694998560386,0.9131831888428195,0.906630666822459
2026-06-01T08:39:43.886043+00:00,42,val_calibration,blend_dl04_xgb03_lgbm03,weighted_blend,0.11718147412302467,0.9122973991707501,0.905668724818262
2026-06-01T08:39:44.615407+00:00,42,val_calibration,blend_dl04_xgb04_lgbm02,weighted_blend,0.11798485614519623,0.9113022992838298,0.9044942008988213
2026-06-01T08:39:45.352866+00:00,42,val_calibration,blend_dl04_xgb05_lgbm01,weighted_blend,0.11884709682130871,0.909957909285086,0.9031628937325559
2026-06-01T08:39:46.081684+00:00,42,val_calibration,blend_dl04_xgb06_lgbm00,weighted_blend,0.11976819249182179,0.9084175147631613,0.901583535214074
2026-06-01T08:39:46.812847+00:00,42,val_calibration,blend_dl05_xgb00_lgbm05,weighted_blend,0.1206290198193648,0.9120115592411108,0.9052871181107619
2026-06-01T08:39:47.545664+00:00,42,val_calibration,blend_dl05_xgb01_lgbm04,weighted_blend,0.12135037936932899,0.9113085814800855,0.9045900986415107
2026-06-01T08:39:48.283857+00:00,42,val_calibration,blend_dl05_xgb02_lgbm03,weighted_blend,0.12213059648774036,0.9104617414248021,0.903545635075557
2026-06-01T08:39:49.047677+00:00,42,val_calibration,blend_dl05_xgb03_lgbm02,weighted_blend,0.12296967060953665,0.9092850860660888,0.9023023862991133
