generated_at_utc,seed,split,ablation_variant,removed_component,model_variant,evidence_type,threshold,threshold_strategy,notes,delta_macro_f1,full_minus_variant_macro_f1,delta_precision_fake,full_minus_variant_precision_fake,delta_roc_auc,full_minus_variant_roc_auc,delta_pr_auc,full_minus_variant_pr_auc
2026-06-11T12:32:16.086044+00:00,42,test,Full Model,none,phase5_weighted_blend,direct_artifact,0.5,default_0.5,Headline phase5_weighted_blend; dual-threshold audit is exported separately.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11T12:32:16.086245+00:00,42,test,Model A,cnn_sequence_branch,phase5_xgb_raw,direct_artifact_branch_level,0.5,default_0.5,XGB raw tabular branch only; contrasts with full CNN+XGB weighted blend.,-0.03738168604070791,0.03738168604070791,-0.0012928244577804504,0.0012928244577804504,-0.023836551088194713,0.023836551088194713,-0.022704988350108812,0.022704988350108812
2026-06-11T12:32:16.086382+00:00,42,test,Model B,PCA,controlled_lightgbm_raw_no_pca,controlled_lightgbm,0.5,default_0.5,Raw fused feature LightGBM without PCA; estimated loaded train+test memory 107.7 MB.; train_mode=full_train; train_seconds=176.63,-0.037498256756008486,0.037498256756008486,-0.007641843603119924,0.007641843603119924,-0.02452316035185287,0.02452316035185287,-0.02305711385376452,0.02305711385376452
2026-06-11T12:32:16.086581+00:00,42,test,Model C,advanced_behavioral_features,controlled_lightgbm_bert_basic5_no_advanced,controlled_lightgbm,0.5,default_0.5,"Removed advanced behavioral features; {'bert_dim': 768, 'basic_behavioral_features': ['basic_char_len_log', 'basic_word_count_log', 'basic_rating_deviation', 'basic_sentiment_compound', 'basic_verified_purchase'], 'kept_behavioral_indices': [0, 1, 2, 3, 4], 'selected_feature_dim': 773, 'note': 'basic behavioral columns selected from Phase 2 metadata'}; reducer={'reducer': 'PCA_randomized', 'fit_policy': 'fit train only; transform val/test', 'output_dim': 400, 'explained_variance_retained': 0.9509715437889099}; train_mode=full_train; train_seconds=95.57",-0.07492340753317195,0.07492340753317195,-0.06544728066939609,0.06544728066939609,-0.052544090241971264,0.052544090241971264,-0.06006135397907286,0.06006135397907286
2026-06-11T12:32:16.086693+00:00,42,test,Model D,tabular_blend_branch,phase5_cnn_bilstm_sequence,direct_artifact,0.5,default_0.5,CNN-BiLSTM sequence branch only; contrasts with full weighted blend.,-0.009029204690094828,0.009029204690094828,-0.023371657177843397,0.023371657177843397,-0.004317898731243663,0.004317898731243663,-0.006832310929149377,0.006832310929149377
2026-06-11T12:32:16.086805+00:00,42,test,Model E,PSO_PCA_advanced_behavioral_ensemble_nearest_available_baseline,dl_baseline,direct_artifact_nearest_baseline,0.5,default_0.5,Nearest available baseline from Phase 4; it removes PSO and ensemble but still uses Phase 3 PCA and all 9 behavioral features. Do not overclaim it as a full no-PCA/no-advanced retrain.,-0.17685915003255492,0.17685915003255492,-0.18804549116477542,0.18804549116477542,-0.13796299984229055,0.13796299984229055,-0.15285516872210647,0.15285516872210647
