generated_at_utc,seed,model_variant,epoch,train_loss,val_loss,val_macro_f1,val_precision_fake,val_recall_fake,val_f1_fake,val_roc_auc,val_pr_auc,batch_size
2026-06-01T08:24:41.334407+00:00,42,pso_trial_063,1,0.17729664077972346,0.14998264359820007,0.7242174269185608,0.8545095457537853,0.4946646341463415,0.6265990827902486,0.7615181683660661,0.7645790893343465,48
2026-06-01T08:24:44.138303+00:00,42,pso_trial_063,2,0.15352057872768393,0.15642497716531095,0.7081422126879422,0.6256892637041842,0.7351371951219512,0.6760119151918697,0.8025334790536147,0.7992942192740148,48
2026-06-01T08:24:46.925239+00:00,42,pso_trial_063,3,0.14735759250859526,0.13962481224916104,0.7574886069713018,0.7335796387520526,0.6810213414634146,0.7063241106719368,0.820560530241585,0.8144459037865144,48
2026-06-01T08:24:49.732032+00:00,42,pso_trial_063,4,0.14479755050437973,0.13707356392853945,0.762881595837247,0.7934204160619255,0.625,0.6992112555958218,0.8251946524438523,0.8175691005423465,48
2026-06-01T08:24:52.567426+00:00,42,pso_trial_063,5,0.14347239772983414,0.13732304059825262,0.7619041891018259,0.734356075898264,0.6932164634146342,0.7131934914722603,0.8264733760758035,0.8185167418183994,48
