generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,probability_path
2026-06-10T09:37:45.984970+00:00,123,train,phase5_weighted_blend,0.5,default_0.5,0.9846606289476323,0.9841071747809966,0.9873480525924089,0.9750122488975992,0.981141378035252,17677,12246,0.9991134626210468,0.9987618203903911,0.015875360064170247,17524,153,306,11940,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/seed_123/phase5_weighted_blend_train_prob.npy
2026-06-10T09:37:46.010588+00:00,123,val,phase5_weighted_blend,0.5,default_0.5,0.9493216903165446,0.9470725237649569,0.9659505472233482,0.9081554878048781,0.9361618542526027,3789,2624,0.9767885535149887,0.9767520584110794,0.04732816158595081,3705,84,241,2383,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/seed_123/phase5_weighted_blend_val_prob.npy
2026-06-10T09:37:46.026950+00:00,123,test,phase5_weighted_blend,0.5,default_0.5,0.9486979572742866,0.9464782581376245,0.9621425694724124,0.9104420731707317,0.9355786175837086,3789,2624,0.9757473495162505,0.975773086090843,0.047915147336332224,3695,94,235,2389,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/seed_123/phase5_weighted_blend_test_prob.npy
