generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,probability_path
2026-06-10T08:42:50.607466+00:00,123,train,phase5_lgbm_raw,0.5,default_0.5,1.0,1.0,1.0,1.0,1.0,17677,12246,1.0,1.0,0.001118301045675852,17677,0,0,12246,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/seed_123/phase5_lgbm_raw_train_prob.npy
2026-06-10T08:42:50.638409+00:00,123,val,phase5_lgbm_raw,0.5,default_0.5,0.9089349758303447,0.902833635843807,0.967461044912924,0.8044969512195121,0.8784852267998335,3789,2624,0.9554263706235637,0.9549685454984446,0.07503196199962549,3718,71,513,2111,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/seed_123/phase5_lgbm_raw_val_prob.npy
2026-06-10T08:42:50.660949+00:00,123,test,phase5_lgbm_raw,0.5,default_0.5,0.912677374083892,0.9069349440202006,0.9699453551912568,0.8117378048780488,0.8838174273858921,3789,2624,0.9542420915969848,0.955484979262917,0.07336960524780616,3723,66,494,2130,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/seed_123/phase5_lgbm_raw_test_prob.npy
