generated_at_utc,seed,split,model_variant,threshold,threshold_strategy,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,support_real,support_fake,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,probability_path
2026-06-10T08:38:19.115133+00:00,123,train,phase5_xgb_raw,0.5,default_0.5,0.9616682819236039,0.959756459711362,0.9974899148363963,0.9086232239098481,0.9509850006409982,17677,12246,0.9987540937178075,0.9982734952812806,0.02777752700383058,17649,28,1119,11127,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/seed_123/phase5_xgb_raw_train_prob.npy
2026-06-10T08:38:19.149326+00:00,123,val,phase5_xgb_raw,0.5,default_0.5,0.909714642133167,0.9036575036315313,0.9688216414488766,0.8052591463414634,0.8795005202913632,3789,2624,0.9546422490650085,0.9542491943507873,0.07042670788596016,3721,68,511,2113,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/seed_123/phase5_xgb_raw_val_prob.npy
2026-06-10T08:38:19.172275+00:00,123,test,phase5_xgb_raw,0.5,default_0.5,0.9117417745205052,0.9059843037712392,0.9673024523160763,0.8117378048780488,0.8827186075424782,3789,2624,0.9535299350172837,0.9547723836760466,0.06963682052700099,3717,72,494,2130,/content/drive/MyDrive/BaoMatCuoiKy/Fake_reviews/artifacts/predictions/seed_123/phase5_xgb_raw_test_prob.npy
